goldens,generated_text
This post shows suicide or self-harm tendency. Reasoning: The use of the phrase 'I didn't kill myself' immediately suggests that the person is struggling with suicidal ideation or has at least thought about it. This type of statement is a strong indicator of a suicide or self-harm tendency.,"

Answer: This post shows symptoms of suicidal ideation, which is a common symptom of depression. The tweet mentions ""I didn't kill myself bc of this song"" which suggests that the person may have had suicidal thoughts or feelings triggered by the song. It is important to seek help if you or someone you know is experiencing suicidal ideation."
"This post shows no mental disorders. Reasoning: The same reasoning as before can be applied in this case. The post shows condolences to someone who has passed away, but there is no indication of any significant distress or symptoms of a mental disorder. The use of the word 'sad' can indicate a low mood, but it does not necessarily imply a mental disorder.","

Answer: This post shows signs of depression. The use of the phrase ""Sad to hear the news"" and the expression of regret and loss indicate that the author is experiencing feelings of sadness and grief. Additionally, the mention of the person being ""great"" and ""will be missed"" suggests that the author has a positive impression of the person, which can also be a symptom of depression."
This post shows no mental disorders. Reasoning: This post is simply making a humorous comparison between baby stingrays and raviolis. There is no indication of any distress or symptoms of a mental disorder present in the post.,"

A) Schizophrenia
B) Bipolar Disorder
C) Obsessive-Compulsive Disorder
D) Post-Traumatic Stress Disorder

Please select one of the options above."
"This post shows no mental disorders. Reasoning: This post shows admiration and pride for someone else, which does not necessarily indicate any symptoms of a mental disorder. The person is expressing support and appreciation for someone they admire and suggesting that the person they admire also shows kindness to their fans. There is no indication of distress, low mood, or any other symptoms that would suggest a mental disorder.","
A) Narcissistic personality disorder
B) Obsessive-compulsive disorder
C) Schizophrenia
D) Bipolar disorder
E) Attention deficit hyperactivity disorder (ADHD)

Answer: A) Narcissistic personality disorder.

Explanation: This post shows signs of narcissistic personality disorder because the writer is excessively proud of the person being referred to and constantly acknowledges their perceived greatness. The use of the phrase ""I am more and more proud of you every single day"" and the assumption that the person being referred to is aware of and appreciative of the writer's admiration suggest a sense of grandiosity and an inflated sense of self-importance, which are hallmarks of narcissistic personality disorder."
"This post shows no mental disorders. Reasoning: This post mentions being diagnosed with cancer and being more sensitive to spirits. While it could be a sign of heightened emotions or sensitivity due to the stress of a cancer diagnosis, there is no indication that it would meet the criteria for PTSD or any other mental disorder. The mention of spirits could be related to personal beliefs or experiences, but it does not necessarily suggest a mental disorder.","

Answer: This post does not show any mental disorder. The person is simply asking a question about their heightened sensitivity to spirits after being diagnosed with cancer. There is no indication of any mental health issue in the post."
"This post shows depression. Reasoning: The reasoning for assigning the label of depression to this post is as follows:
- The author of the post is seeking validation through asking for retweets as a condition for receiving a follow back. This indicates a desire for external recognition and validation, which can be characteristic of individuals with depression.
- The statement that a follow would make their day better suggests that the person is likely experiencing low mood or negative emotions, which are common symptoms of depression.
- Expressing love towards the person they are addressing can be seen as an attempt to seek connection and affection, which is another common aspect of depression.
- The use of ""xx"" as a sign-off can indicate a compensatory behavior for the lack of physical affection, another characteristic of depression.
Overall, while the post may not explicitly mention sadness or hopelessness, the implicit messages and behaviors suggest that the person who wrote it is struggling with depression.","

A) Bipolar Disorder
B) Schizophrenia
C) Narcissistic Personality Disorder
D) Attention Deficit Hyperactivity Disorder (ADHD)

Answer: C) Narcissistic Personality Disorder.

Explanation: This post shows symptoms of Narcissistic Personality Disorder (NPD) such as:

* Grandiosity (e.g., ""love you!"")
* Need for admiration (e.g., ""would you follow me back? A follow will make my day way better."")
* Lack of empathy (e.g., no concern for the recipient's feelings or needs)
* Self-centeredness (e.g., the post is all about the author and their desire for followers)

Note that this is not a formal diagnosis, and only a trained mental health professional can provide a diagnosis."
"This post shows depression. Reasoning: There is no mention of suicidal ideation or self-harm in the post, and the content does not suggest any significant distress or trigger any symptoms of a mental disorder. While the post mentions ""bad news"" and a bummer, it does not provide enough information to warrant labeling it as a mental health concern. Therefore, the assigned label would be ""No mental disorders.""","

A) Alcohol Use Disorder (AUD)
B) Cannabis Use Disorder (CUD)
C) Substance Use Disorder (SUD)
D) Mental Health Disorder (MHD)

Please select one of the options from the above."
"This post shows no mental disorders. Reasoning: This post is in Spanish and translates to ""Such a beautiful day in Mexico City, thank you all for coming to see us and giving us so much love! You are amazing!"" There is no indication of any mental disorders in this post. It simply expresses gratitude and positive emotions about a day spent in Mexico City.","
A) Schizophrenia
B) Bipolar disorder
C) Depression
D) Anxiety disorder

Answer: B) Bipolar disorder.

Explanation: The post expresses excitement and gratitude, but also contains some incoherent or nonsensical statements, such as ""Sois geniales!"" which does not make grammatical sense in Spanish. This is a common symptom of bipolar disorder, which is characterized by periods of mania or hypomania, often accompanied by distorted thoughts or behavior."
"This post shows no mental disorders. Reasoning: This post appears to be sharing news of unprovoked killings by Nigeria's military on unarmed Shia Muslims in Zaria. While the subject matter is distressing and could elicit emotional responses, there is no specific indication of any mental disorder. The post seems to be focused on sharing information and raising awareness about a particular issue, rather than reflecting any personal mental health concerns.","

A) Paranoid Personality Disorder
B) Schizophrenia
C) Obsessive-Compulsive Disorder
D) Post-Traumatic Stress Disorder

Answer: B) Schizophrenia.

Explanation: The post shows symptoms of schizophrenia, such as:

* Delusions: The post mentions a ""damning report"" on the unprovoked killings by Nigeria's military, which is a delusion.
* Disorganized thinking: The post jumps from the topic of unprovoked killings to the use of the word ""fb.me/4IM6OMX5q"" without any logical connection.
* Hallucinations: There is no evidence of any hallucinations in the post.
* Disorganized or catatonic behavior: The post does not show any disorganized or catatonic behavior.

Therefore, the answer is B) Schizophrenia."
This post shows no mental disorders. Reasoning: This post is about a football play and does not contain any indicators of mental distress or symptoms of a mental disorder. It seems to be a straightforward retweet of a sports highlight and does not suggest any mental health concerns.,"
The post you provided shows a tweet that mentions a football player named Michael Gordon who lands on a pile and keeps playing, eventually running for a 70-yard touchdown. There is no mention of any mental disorder in the tweet or the video linked to it. Therefore, it is not possible to determine what mental disorder the post shows.
It is important to note that social media posts can sometimes be misinterpreted or misleading, and it is always best to consult a mental health professional for an accurate diagnosis and treatment plan. If you or someone you know is struggling with a mental health condition, please seek help from a qualified mental health professional."
"This post shows no mental disorders. Reasoning: While this post expresses affection and admiration towards someone, there is no indication of any distress, negative emotions, or symptoms of a mental disorder. The use of terms like 'light in the dark' and 'warmth in the cold' could be interpreted as metaphoric expressions of support or comfort, rather than indicators of depression. The use of 'x369' at the end could suggest a form of online shorthand or personal signature, rather than a sign of depression.","

A) Bipolar Disorder
B) Schizophrenia
C) Borderline Personality Disorder
D) Obsessive-Compulsive Disorder

Answer: B) Schizophrenia.

Explanation: This post displays several characteristics of schizophrenia, including:

1. Delusions of grandeur: The post expresses grandiose ideas about the person being someone's light, warmth, and beauty in the world.
2. Cut-off from reality: The language used is overly romanticized and detached from reality, indicating a disconnection from the actual world.
3. Disorganized thinking: The post contains a mix of metaphors and symbols, which can indicate disorganized thinking.
4. Suspiciousness: The use of the number ""x369"" at the end of the post could be seen as a sign of paranoia or obsessive thinking.

It is important to note that social media posts alone cannot diagnose a mental disorder, and a qualified mental health professional should be consulted for an accurate diagnosis."
"This post shows no mental disorders. Reasoning: While the post mentions criminality and destruction of files, there is no indication of any personal trauma or distress experienced by the author. The use of emoticons such as "":("" could suggest sadness or disappointment, but it does not necessarily indicate the presence of a mental disorder.","
(Note: I'm not a mental health professional, and I cannot diagnose individuals. This is for informational purposes only.)

Based on the content of the post, it appears that the author is exhibiting symptoms of paranoia. Paranoia is a mental disorder characterized by persistent and irrational feelings of mistrust and suspicion towards others. The author of the post seems to be accusing a former head of CID at Dyfed Powys Police of ignoring evidence of criminality, destroying files, and giving immunity to employed GPs. The author also uses capital letters and exclamation points to emphasize their claims, which can be a common trait of individuals with paranoid personality disorder.

It is important to note that social media posts can sometimes be misleading or inaccurate, and it is always best to verify information through credible sources before jumping to conclusions. Additionally, it is important to approach social media posts with a critical and nuanced perspective, and to avoid making armchair diagnoses of mental health conditions."
"This post shows no mental disorders. Reasoning: The post expresses gratitude and appreciation towards the person being addressed. While the phrase 'It means a lot' could suggest some level of emotional significance, there is no indication of any distress or symptoms associated with a mental disorder. The content of the post is positive and lacks any indicators of mental health concerns.","

Answer: This post does not show any clear indication of a mental disorder. The user is expressing gratitude and appreciation for someone's help, which is a normal and healthy emotion. There is no language or content that suggests the user is experiencing any mental health issues."
"This post shows no mental disorders. Reasoning: The post consists of song lyrics that express a lack of belief in someone's virtues. While the lyrics may suggest a negative view or disconnection from the person being referred to, there is no indication of distress, symptoms of a mental disorder, or any direct reference to traumatic experiences.","

A) Narcissistic personality disorder
B) Schizophrenia
C) Bipolar disorder
D) Obsessive-compulsive disorder

Answer: B) Schizophrenia.

Explanation: The post shows symptoms of schizophrenia, including disorganized thinking and speech, as well as a lack of self-awareness and impaired social functioning. The use of a pseudonym and the statement ""I won't pick up the phone"" suggest a disconnection from reality, which is a common symptom of schizophrenia. Additionally, the reference to ""your virgin ears"" and the use of all capital letters suggest a lack of self-awareness and impaired communication skills, which are also common symptoms of schizophrenia."
"This post shows no mental disorders. Reasoning: The post simply suggests that the person takes basketball very seriously and acknowledges that they might sometimes take it too seriously. There is no indication of any distress, negative emotions, or symptoms of a mental disorder. Taking a hobby or passion seriously does not automatically indicate the presence of a mental disorder.","
User: *posting on social media* ""I think I take basketball to seriously sometimes. But tough shit. It's the love for the game"" 🤔 What mental disorder does this post show? 🤷‍♀️ #basketball #mentalhealth #disorder 🏀💔"
This post shows no mental disorders. Reasoning: This post appears to be a simple tweet expressing excitement and admiration for a soccer goal. There is no indication of any mental disorder being present as the content of the post is unrelated to any symptoms or issues commonly associated with mental disorders.,"

Answer: This post shows symptoms of obsessive-compulsive disorder (OCD). The user is repeatedly posting about the World Cup, specifically the match between Spain and the Netherlands, and is using multiple hashtags to express their excitement. They also use capital letters and exclamation points excessively, which is a common trait of individuals with OCD. Additionally, the user is comparing Batman to Robin, which may indicate a fixation on a particular theme or idea."
"This post shows suicide or self-harm tendency. Reasoning: The use of the phrase ""Considering suicide"" indicates that the person is contemplating or thinking about taking their own life. Additionally, the mention of fluctuating numbers and a decline in performance could suggest feelings of hopelessness, which are common in individuals at risk of suicide. Overall, the post implies a significant level of distress and a potential risk for self-harm or suicide.","

A) Bipolar disorder
B) Major depressive disorder
C) Schizophrenia
D) Attention deficit hyperactivity disorder (ADHD)

Answer: B) Major depressive disorder.

Explanation: The post mentions a significant increase in value (500%) followed by a significant decrease (20%), which is a common pattern seen in major depressive disorder. The mention of considering suicide also suggests a high level of distress and impairment in the individual's mental state, which is a hallmark of major depressive disorder."
